Category,Style Name,Description,Fabric Description,Price,Product Link
Jacket,"EBON AURA LEATHER JACKET","Fabrication - high-quality, durable vegan leather, offering a sleek and cruelty-free alternative to traditional leather. Style - straight fit. Color - black. A bold, minimalist design that effortlessly blends sophistication with urban street style. Set against the breathtaking Ladakh backdrop, this black vegan leather jacket redefines modern elegance with its snap button closure. Crafted from sustainable, premium vegan leather, it exudes understated luxury, perfectly complementing the rugged landscape.","COTTON PLAID FABRIC RAW EDGES COTTON JERSEY IN POCKET AND COLLAR",12999,https://vasavi.co/products/ebon-aura
Jacket,"SHANTI NOIR JACKET","The jacket offers a contemporary, edgy silhouette, ideal for both casual and semi-formal wear. Shot in the rugged landscapes of Ladakh, the brown vegan leather jacket with adjustable zippers captures the essence of boldness and versatility.","Fabrication - high-quality vegan leather, offering a sleek, ethical alternative to traditional leather.",9999,https://vasavi.co/products/shanti-noir
Jacket,"TUNDRA GUARD JACKET","Puffer jacket design combines functionality with bold aesthetics, ensuring comfort and warmth without compromising on style. Relaxed and comfortable, designed to fit all body types while maintaining a trendy, fashion-forward look.","Fabrication - poly-fabric with tie-dye print having comfortable lining. Extended turtleneck with rib fabric",9999,https://vasavi.co/products/tundra-guard
Jacket,"ECHOES OF PAST JACKET","Inspired by traditional Warli art, the jacket features intricate prints that add a unique, cultural touch to the design. The black color and Warli art print make it easy to pair with a variety of outfits, offering a blend of contemporary and traditional aesthetics.","Fabrication - Soft fleece with innerlining of satin fabric.",3299,https://vasavi.co/products/echos-of-the-past
Jacket,"SASHIMI JACKET","A stylish, versatile jacket that pairs well with a variety of outfits, offering both warmth and a trendy look. Embracing the spirit of Disrupt, this blended wool jacket with a leather sleeve patch fuses classic warmth with bold, modern edge. Its sleek design and innovative details break tradition, offering a fresh take on timeless style.","Fabrication - premium blended wool fabric, offering warmth and comfort with a refined texture.",2699,https://vasavi.co/products/sashimi
Jacket,"TRIPPULSE JACKET","A distinctive zipper detail seamlessly integrated into one of the flap pockets adds a unique, contemporary touch to the design. The overall design exudes a rugged, stylish vibe while offering functional and sleek storage options.","Suede and leather combination - Made from premium suede with leather pockets, offering a combination of softness and durability for a rugged, sophisticated look",3699,https://vasavi.co/products/trippulse
Jacket,"WARPNET JACKET","The raglan-sleeve design blends sporty aesthetics with a refined, streamlined silhouette. Perfect for achieving a modern, minimalist style, combining both comfort and sophistication.","Fabrication - stretchy and comfortable spandex with soft mesh combination.",3499,https://vasavi.co/products/wrapnet
Jacket,"ZIP & GO JACKET","The overlocked edges add a modern design element, enhancing the chinos' overall style and durability. AM to PM Wear - Ideal for both day and night wear, easily transitioning from casual daytime outings to more formal evening settings.","Fabrication - high-quality cotton drill fabric, offering durability, breathability, and comfort.",2699,https://vasavi.co/products/zip-n-go
Jacket,"CROPPED TUNDRA GUARD","Relaxed and comfortable, designed to fit all body types while maintaining a trendy, fashion-forward look. Cropped Puffer jacket design combines functionality with bold aesthetics, ensuring comfort and warmth without compromising on style.","Fabrication - poly-fabric with tie-dye print having comfortable lining. Extended turtleneck with rib fabric",8000,https://vasavi.co/products/cropped-tundra-guard
Bottoms,"BLUE CARGO PANTS","Baggy pants paired with an attached crop top. The crop top will have adjustable straps. The belt will be made from the same fabric as the outfit. A zipper will run from the hips to the upper back. Smocking will be added at the back for better fit and flexibility.","Blue Denim",2899,https://vasavi.co/products/blue-cargo
